Component,MPN,References,Value,Quantity Per PCB,Datasheet
1,VAOL-3HAE4,D1,LED,1,http://static.vcclite.com/pdf/VAOL-3HAE4-LED-3mm-red.pdf
2,MMBD914LT1G,D2,MMBD914,1,https://www.onsemi.com/pdf/datasheet/mmbd914lt1-d.pdf
3,2178713-6,J3,Control,1,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2178713&DocType=Customer+Drawing&DocLang=English
4,22288022,J4,FAN_TH,1,https://www.molex.com/pdm_docs/sd/022288022_sd.pdf
5,68001-202HLF,J1,Power_IN,1,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf
6,68001-202HLF,J2,Power_OUT,1,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf
7,MMBT2222ALT1G,Q1,MMBT2222 NPN,1,https://www.onsemi.com/pdf/datasheet/mmbt2222lt1-d.pdf
8,STN3P6F6,Q2,STN3P6F6,1,http://www.st.com/content/ccc/resource/technical/document/datasheet/50/e3/76/4a/8a/51/48/55/DM00066885.pdf/files/DM00066885.pdf/jcr:content/translations/en.DM00066885.pdf
9,RC1206JR-07150RL,R1,150ohm,1,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf
10,RC1206JR-072K2L,R2,2K2,1,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf
11,PBH2UEENAGX,SW1,PBH2UEENAGX,1,https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/52/PBH.pdf
12,PBH2UEENAGX,SW2,PBH2UOANAGX,1,https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/52/PBH.pdf
